Year,City,"State, province, dept., etc.",Country,Notes,Irrelevant_1
4000 BC,Puerto Hormiga Culture,Cartagena,Colombia,,trR7m
3710 BC,Aspero,Norte Chico,Peru,,NznbLz
2627 BC,Caral,Norte Chico,Peru,,9AJl1NzU
700 BC,Ticul,Yucatán,Mexico,,NnI5RR3n
500 BC,Cholula,Puebla,Mexico,,Dpz2za4
300 BC,Teotihuacan,México,Mexico,In the Valley of Mexico,2Y6jP3
200,Mitla,Oaxaca,Mexico,,0sDlWmb
524,Ejutla,Oaxaca,Mexico,[1],0bs6Y
500,Cuenca,Azuay,Ecuador,,8WFie
600,Cahokia,Illinois,United States,,sUJvzndm
1000,L'Anse aux Meadows,Newfoundland,Canada,,VEbXiM
1000,Acoma Pueblo and Taos Pueblo,New Mexico,United States,,UDAvCMZq
1050,Motul,Yucatán,Mexico,,sq1iRkxH
1100,Cusco,Cusco Province,Peru,,qmvnuK
1100,Oraibi,Arizona,United States (Hopi Reservation),[2],krCbhUz4
1200,Ojinaga,Chihuahua,Mexico,,XQECPyCz
1325,Tenochtitlan,Distrito Federal,Mexico,Later called Mexico City,OEFg2a
1450,Zuni Pueblo,New Mexico,United States,[3],xrgI7C
1470,Iximche,Chimaltenango,Guatemala,,fEKtTk
1492,La Navidad,Nord-Est,Haiti,,lIhPr
1493,La Isabela,Puerto Plata,Dominican Republic,,tSnvRv4G
1498,Santo Domingo,Distrito Nacional,Dominican Republic,Capital of the Dominican Republic. Oldest continuously inhabited European established settlement in the Americas.,QNIn9
1502,Santa Cruz del Seibo,El Seibo,Dominican Republic,,VaOay
1504,Azua de Compostela,Azua,Dominican Republic,,LAZbS
1504,Santiago de los Caballeros,Santiago,Dominican Republic,,qxsll
1505,Cotuí,Sánchez Ramírez,Dominican Republic,,W154f
1506,Salvaleón de Higüey,La Altagracia,Dominican Republic,,0lx6L
1508,Bonao,Monseñor Nouel,Dominican Republic,,esSaQy
1508,Caparra,Puerto Rico,United States,Abandoned in 1521 with the removal of the capital to San Juan.,DtPl1IR
1510,Santa Maria la Antigua del Darien,Urabá,Colombia,First city founded by Europeans on the continent of South America.,jsh2d
1510,Nombre de Dios,Colon,Panama,Oldest continuously inhabited European established settlement in Panama.,6kS05
1511,Baracoa,Guantánamo,Cuba,"Oldest continuously inhabited European established settlement in Cuba, former capital of Cuba.",lsVJu
1514,Santiago,Santiago,Cuba,,g8qgPy
1515,Havana,Havana,Cuba,,I8HvnLrX
1519,"La Villa Rica de la Vera Cruz, (Veracruz)",Veracruz,Mexico,Oldest continuously inhabited European established settlement in Mexico.,1hCNxt
1519,Panama City,Panamá,Panama,First European established city on the Pacific Coast of the Americas,6voBW
1520,Hato Mayor del Rey,Hato Mayor,Dominican Republic,,MkhUXM1e
1521,Cumaná,Sucre,Venezuela,Oldest continuously inhabited European established settlement in Venezuela.,ziZGo
1521,San Juan,Puerto Rico,United States,"Oldest continuously inhabited European established settlement in Puerto Rico, and in the United States. Oldest continuously inhabited state or territorial capital in the United States.",aMa0lY
1524,Granada,Granada,Nicaragua,Oldest continuously inhabited European established settlement in Nicaragua.,9LjaHb
1524,Tecpán Guatemala,Chimaltenango,Guatemala,First capital of Guatemala and oldest continuously inhabited European established settlement in Guatemala.,G4diU
1524,Trujillo,Colón,Honduras,Oldest continuously inhabited European established settlement in Honduras.,0vBX3qtg
1525,Santa Marta,Magdalena,Colombia,Oldest continuously inhabited European established settlement in Colombia.,uqtr3EbC
1525,Acapulco,Guerrero,Mexico,[4],eCItTAy
1525,San Salvador,San Salvador,El Salvador,"Founded in 1525, rebuilt and changed locations twice afterwards (1528 and 1545) and oldest continuously inhabited European established settlement in El Salvador.",DQzWAhz
1526,Acámbaro,Guanajuato,Mexico,,jJZfjc6
1526,Chimaltenango,Chimaltenango,Guatemala,,01JpDC
1528,San Cristóbal de las Casas,Chiapas,Mexico,Originally called Villa Real de Chiapa.,RtlvxZ
1529,Maracaibo,Zulia,Venezuela,,1R3eCavz
1530,San Blas,Nayarit,Mexico,By Nuño Beltrán [5],ZqxvIB
1531,Puebla,Puebla,Mexico,"by Fr. Toribio de Benavente (\Motolinía\"") on 16 April [6]""",wASp2GD
1532,Oaxaca,Oaxaca,Mexico,,QaSrMUL
1532,Piura,Piura,Peru,,mUMSTQ
1532,São Vicente,São Paulo,Brazil,"Oldest continuously inhabited European established settlement in Brazil, oldest Portuguese established settlement in the New World.",KiGef
1532,Tepic,Nayarit,Mexico,As capital of Nueva Galicia [7],BRXi9RWn
1533,Cananéia,São Paulo,Brazil,Second Oldest City in Brazil,O5OxJeRb
1533,Cartagena de Indias,Bolívar,Colombia,,VzOho5
1534,Otavalo,Imbabura,Ecuador,,Lk6UPde
1534,Quito,Pichincha,Ecuador,Oldest continuously inhabited European established settlement in Ecuador.,9fSf7
1534,Spanish Town,Saint Catherine,Jamaica,Founded by the Spanish as Santiago de la Vega or St. Jago de la Vega. Oldest continuously inhabited European established settlement in Jamaica.,XWiYj
1534,Trujillo,La Libertad,Peru,Oldest continuously inhabited European established settlement in Peru.,Xwynkmo0
1535,Lima,Lima,Peru,,FiZRUY
1535,Igarassu,Pernambuco,Brazil,"Site of first European settlement in Brazil, the feitoria of Igarassu, in 1516.",iHl8yLt3
1535,Olinda,Pernambuco,Brazil,One of the best-preserved colonial cities in Brazil.,h1pIA
1535,Vila Velha,Espírito Santo,Brazil,,vtR9oKz
1535,Paria,Oruro,Bolivia,,y8uQgb
1536,Santiago de Cali,Valle del Cauca,Colombia,,FTPFiDf
