State,City/county,Population served,Charter type,Station name,Web site,Filler_1,Noise_Field_2
MO,St. Charles County; St. Charles,,E,Lindenwood University (LUTV),http://www.lindenwood.edu/lutv,YHpPSqZ,hXhsHyAO
MO,St. Louis County; St. Louis,"319,294",PE,St. Louis Cooperating School Districts,http://www.csd.org/Teacher%20Resources/videos.html,faHgsH,ZaEjVMC
MO,Black Jack,"319,294",E,Gateway TV News Network (GTN TV),http://www.gtntv.com,uUuQsX,TnoNR
MO,Blue Springs,,G,Blue Springs City TV (CTV-7),http://www.bluespringsgov.com/index.aspx?nid=127&PREVIEW=YES,NiGOn,MZnRe
MO,Brentwood,,G,Brentwood City TV,http://www.brentwoodmo.org/index.aspx?nid=135,wlagbMla,OzJjMl
MO,Cape Girardeau; Jackson,,PG,Public Access Cable TV (CG993),http://www.cityofcapegirardeau.org/CityManagersOffice/communication.aspx,lFgKbR,bZuzICP
MO,Clarksville,,P,University of the Ozarks (KUOZ-TV 6),http://admissions.ozarks.edu/studentlife/organizations/detail.asp?id=13,lzcWJPOz,kerDLc
MO,Columbia,"108,500",P,Columbia Access Television,http://columbiaaccess.tv,qtGwvsyL,vrfsCZ
MO,Columbia,"108,500",E,University of Missouri TV (MUTV),http://mutv.missouri.edu,ydulFg,gvnFI
MO,Columbia,"108,500",G,Columbia City Channel,http://www.gocolumbiamo.com/TCC,jiDmY,EqOlGPKf
MO,Florissant,,G,Florissant City TV,http://tv.florissantmo.com/Cablecast/Public/About.aspx?ChannelID=1,QRMEqm,AjsPoLj
MO,Hillsboro,,EG,Jefferson College TV (JCTV),http://www.jeffco.edu/jeffco/index.php?option=com_content&task=view&id=360&Itemid=378,LeCrD,wBtMBb
MO,Independence,"116,830",G,Independence City 7,http://www.ci.independence.mo.us/city7,ajEWgR,jkFRIOJU
