State,City/county,Population served,Charter type,Station name,Web site,Noise_Field_1
MO,Jefferson City,"40,000",P,Jefferson City Access TV 81 (JCTV),http://www.facebook.com/pages/JCTV/125999790938 or http://mappingaccess.org/node/149,qipSRXhX
MO,Jefferson City,"40,000",E,Lincoln University (JCTV),http://www.lincolnu.edu/web/media/media;jsessionid=E647D82922CE0B8B0C017D57272167F1,JcJaQF
MO,Kansas City,,E,Kansas City Park Hill School District TV – Channel 18,http://www.parkhill.k12.mo.us/Pages/ParkHillTV-Channel18.aspx,dayqcwa
MO,Kansas City,,E,University of Missouri – Kansas City (UMKC),https://www.umkc.edu/ia/its/cable,fHrTE
MO,Kansas City,,G,Kansas City (KCCG-TV2),http://www.kcmo.org/CKCMO/Depts/CityManagersOffice/CityCommunications/Channel2,CWgNKDc
MO,Lebanon,,PEG,Lebanon Community Access Channel (JTV),http://www.lebanon.k12.mo.us/peg,RdAJVSs
MO,Liberty,,PE,Liberty School District Cable TV – Channel 18 (KLPS-TV),http://www.liberty.k12.mo.us/news/klps-tv-18,zWXLS
MO,Liberty,,G,Liberty Cable – Channel 2,http://mo-liberty.civicplus.com/index.aspx?SID=278,HKbguCk
MO,Pleasant Hill,,PG,Pleasant Hill Government Access,http://www.pleasanthill.com/DocumentView.asp?DID=85,xPHiI
MO,Poplar Bluff,,PG,Poplar Bluff City Cable 2,http://mappingaccess.org/node/159,kTiawJb
MO,O'Fallon,,G,OFallonTV,http://www.ofallon.mo.us/dept_OFallonTV.htm,ugdvDgpA
MO,Raymore,,PG,Raymore – Channel 7,http://www.raymore.com/index.aspx?NID=382,EeuYO
