State,City/county,Population served,Charter type,Station name,Web site
MO,Rolla,"19,559",PG,Rolla – Channel 16,http://www.rollachannel6.com
MO,Springfield,,P,Springfield Cable 25,http://mappingaccess.org/node/158
MO,Springfield,,G,Springfield CityView,http://www.springfieldmo.gov/cityview
MO,St. Charles,,G,St. Charles City Channel,http://www.stcharlescitymo.gov/Departments/MediaDepartment/tabid/145
MO,Ste. Genevieve,"4,476",G,Ste. Genevieve Community TV,http://www.stegentv.net
MO,St. Joseph,,E,Missouri Western State University Educational Access – Channel 39,http://www.missouriwestern.edu/imc/vs/mwtelevision.asp
MO,St. Louis,"319,294",P,St. Louis Community Media (KDHX),http://kdhx.org
MO,St. Louis,"319,294",E,St. Louis Higher Education Channel (HECTV),http://www.hectv.org
MO,St. Louis,"319,294",E,St. Louis TV (STL TV),http://stltv.net
MO,St. Louis,"319,294",E,St. Louis Public Schools TV (SLPS TV),http://www.slps.org/19621051994538800/site/default.asp
MO,St. Peters,"319,294",G,St. Peters TV (SPTV),http://www.stpetersmo.net/sptv.aspx
MO,Warrensburg,,E,University of Central Missouri – Central TV,http://www.ucmo.edu/orgrequest/orgview.cfm?caorgID=529
