Pos.,Artist,Single,Year,Sales,Peak
31,Mylène Farmer,"\Désenchantée\""""",1991,"665,000",1
32,Brandy & Monica,"\The Boy Is Mine\""""",1998,"662,000",2
33,Robert Miles,"\Children\""""",1996,"642,000",1
34,Lagaf',"\La Zoubida\""""",1991,"625,000",1
35,Tina Arena,"\Aller plus haut\""""",1999,"617,000",2
36,Ménélik & Imane D,"\Bye bye\""""",1998,"613,000",5
37,Nathalie Cardone,"\Hasta Siempre\""""",1997,"608,000",4
38,Alliage & Boyzone,"\Te garder près de moi\""""",1997,"607,000",3
39,Eiffel 65,"\Move Your Body\""""",1999,"589,000",1
40,Britney Spears,"\... Baby One More Time\""""",1999,"578,000",1
