Pos.,Artist,Single,Year,Sales,Peak
1,"Daniel Lavoie, Patrick Fiori & Garou","\Belle\""""",1998,"2,221,000",1
2,Elton John,"\Candle in The Wind\""""",1997,"2,029,000",1
3,Lou Bega,"\Mambo No. 5\""""",1999,"1,532,000",1
4,Wes,"\Alane\""""",1997,"1,418,000",1
5,Manau,"\La Tribu de Dana\""""",1998,"1,415,000",1
6,Ricky Martin,\Un, Dos," Tres\""""",1997
7,Florent Pagny,"\Savoir aimer\""""",1997,"1,234,000",1
8,Aqua,"\Barbie Girl\""""",1997,"1,215,000",1
9,Larusso,"\Tu m'oublieras\""""",1998,"1,209,000",1
10,Céline Dion,"\The Reason\"" / \""My Heart Will Go On\""""",1998,"1,197,000",1
