Pos.,Artist,Single,Year,Sales,Peak
81,G.O. Culture,"\Darla_dirladada\""""",1993,"397,000",1
82,Spice Girls,"\Spice Up Your Life\""""",1997,"397,000",3
83,Elton John,"\Can You Feel The Love Tonight\""""",1994,"391,000",1
84,Enigma,"\Sadeness (Part I)\""""",1990,"385,000",1
85,Jean-Philippe Audin & Diego Modena,"\Song of Ocarina\""""",1991,"379,000",1
86,Boris,"\Soirée disco\""""",1996,"376,000",1
87,Ricky Martin,\Te Extraño, Te Olvido," Te Amo\""""",1997
88,Reel 2 Real,"\I Like to Move It\""""",1994,"367,000",1
89,Céline Dion,"\Un garçon pas comme les autres (Ziggy)\""""",1993,"365,000",2
90,Liane Foly,"\La vie ne m'apprend rien\""""",1999,"364,000",3
