Pos.,Artist,Single,Year,Sales,Peak
21,Nomads,"\Yakalelo\""""",1998,"846,000",2
22,Khaled,"\Aïcha\""""",1996,"824,000",1
23,Hermes House Band,"\I Will Survive\""""",1998,"812,000",3
24,David Hallyday,"\Tu ne m'as pas laissé le temps\""""",1999,"801,000",1
25,Will Smith,"\Men in Black\""""",1997,"783,000",1
26,Cher,"\Believe\""""",1999,"764,000",1
27,Jordy,"\Dur dur d'être bébé !\""""",1992,"751,000",1
28,Spice Girls,"\Wannabe\""""",1996,"742,000",1
29,Fugees,"\Killing Me Softly\""""",1996,"674,000",1
30,Coolio,"\Gangsta's Paradise\""""",1995,"672,000",1
