Pos.,Artist,Single,Year,Sales,Peak,Dummy_Col_1
41,Lara Fabian,"\Tout\""""",1997,"566,000",5,uRLmdVbr
42,Hélène Ségara,"\Il y a trop de gens qui t'aiment\""""",1999,"565,000",1,Ybvdn
43,Ricky Martin,"\La Copa da la Vida\""""",1998,"563,000",1,MoZwgfRW
44,Des'ree,"\Life\""""",1998,"555,000",2,NUoLA
45,Poetic Lover,"\Prenons notre temps\""""",1997,"532,000",5,woYpGKi
46,Coumba Gawlo,"\Pata pata\""""",1998,"529,000",2,utrVHgiD
47,Indians Sacred Spirit,"\Yeha-Noha\""""",1995,"528,000",1,zYATcSQ
48,Lââm,"\Jamais loin de toi\""""",1999,"518,000",5,MGDIJx
49,Bryan Adams,"\(Everything I Do) I Do It for You\""""",1991,"508,000",1,WHKgkT
50,Céline Dion,"\Je sais pas\""""",1995,"506,000",1,skiSGzWg
