Pos.,Artist,Single,Year,Sales,Peak
11,Gala,"\Freed from Desire\""""",1996,"1,013,000",1
12,Eiffel 65,"\Blue (Da Ba Dee)\""""",1999,"1,001,000",1
13,Carrapicho,\Tic," Tic Tac\""""",1996,"980,000"
14,Andrea Bocelli,"\Con te partirò\""""",1997,"980,000",1
15,Lââm,"\Chanter pour ceux qui sont loin de chez eux\""""",1998,"963,000",2
16,Céline Dion,"\Pour que tu m'aimes encore\""""",1995,"955,000",1
17,Moos,"\Au nom de la rose\""""",1999,"918,000",1
18,Los del Río,"\Macarena\""""",1996,"910,000",1
19,Andrea Bocelli & Hélène Ségara,"\Vivo per lei (je vis pour elle)\""""",1998,"874,000",1
20,Zebda,"\Tomber la chemise\""""",1999,"868,000",1
