Pos.,Artist,Single,Year,Sales,Peak
91,Fool's Garden,"\Lemon Tree\""""",1996,"362,000",3
92,Phénoménal Club,"\Il est vraiment phénoménal\""""",1997,"359,000",7
93,Patrick Bruel,"\Alors regarde\""""",1990,"358,000",3
94,2 Unlimited,"\No Limit\""""",1993,"357,000",1
95,Alliance Ethnik,"\Respect\""""",1995,"357,000",2
96,Nirvana,"\Smells Like Teen Spirit\""""",1992,"356,000",1
97,IAM,"\Je danse le Mia\""""",1994,"352,000",1
98,Organiz',"\I Never Knew Love Like This Before\""""",1999,"352,000",5
99,2Be3,"\Toujours là pour toi\""""",1997,"351,000",4
100,Snap!,"\Rhythm Is a Dancer\""""",1992,"349,000",1
