Pos.,Artist,Single,Year,Sales,Peak
61,Modern Talking,\You're My Heart," You're My Soul\""""",1998,"475,000"
62,Johnny Hallyday,"\Vivre pour le meilleur\""""",1999,"471,000",2
63,2Be3,"\Partir un jour\""""",1996,"471,000",2
64,Lara Fabian,"\Je t'aime\""""",1997,"471,000",6
65,Madonna,"\Frozen\""""",1998,"469,000",2
66,François Feldman,"\Joy\""""",1991,"468,000",1
67,Patrick Bruel,"\Qui a le droit... (live)\""""",1991,"466,000",1
68,Youssou N'Dour & Neneh Cherry,"\7 Seconds\""""",1994,"465,000",1
69,Shania Twain,"\Man! I Feel like a Woman!\""""",1999,"459,000",3
70,David Charvet,"\Should I Leave\""""",1997,"452,000",3
