Name of place,Number of counties,Principal county,Lower zip code
Arkadelphia,1,Clark County,71923
Arkalite,1,Lonoke County,
Arkana,1,Baxter County,
Arkana,1,Lafayette County,71826
Arkansas A and M College,1,Drew County,
Arkansas City,1,Desha County,71630
Arkansas Fuel Oil Company Village,1,Columbia County,71753
Arkansas Polytechnic College,1,Pope County,
Arkansas Post National Memorial,1,Arkansas County,72055
Arkansas State Teachers College,1,Faulkner County,
Arkawana,1,Baxter County,
Arkinda,1,Little River County,71836
Arkola,1,Sebastian County,72945
