Name of place,Number of counties,Principal county,Lower zip code,Noise_Field_1,Irrelevant_2,Dummy_Col_3
Arlberg,1,Stone County,,FrqLVVO,AyCRt,ihzupko
Armorel,1,Mississippi County,72310,fXFCib,yf4sNw,BuoKB
Armstrong,1,Sharp County,72482,RgqjEk,tylMTlM,qRmxM
Armstrong Springs,1,White County,72148,gsubCX,6SEQaIt,VfuSAr
Arnett,1,Washington County,,MbqPi,BByUnt,yHORDI
Artesian,1,Calhoun County,,xivfmS,oLPaqol,CYQiBS
Artex,1,Miller County,,QFcBJeXO,DbWxtEsO,xvqwQaR
Arthur,1,Conway County,72156,GBcXROOE,rUQeEwbu,mmyjzGp
Artist Point,1,Crawford County,,yhCnX,VFxHQ,FfnceHK
Ashdown,1,Little River County,71822,pbSstfPU,bL4SZkpI,prkYirB
Asher,1,Madison County,72727,GYXDX,0fvB2r,BaXPM
Asher,1,Pulaski County,72204,DDzZf,t2PMv,UiXQB
