Round,Opponent,Result,Brisbane,Opponent,Date,Venue,Crowd,Position
17 **,Gold Coast Titans,Win,19,18,6 Jul,Suncorp Stadium,"48,621",6/16
18,North Queensland Cowboys,Win,24,16,13 Jul,Dairy Farmers Stadium,"25,126",5/16
19,Parramatta Eels,Loss,16,20,23 Jul,Suncorp Stadium,"25,702",5/16
20,Cronulla Sharks,Win,30,16,29 Jul,Suncorp Stadium,"24,563",5/16
21,Manly Sea Eagles,Loss,8,21,5 Aug,Suncorp Stadium,"35,784",6/16
22,Melbourne Storm,Loss,6,14,12 Aug,Olympic Park,,7/16
23,Canterbury Bulldogs,Loss,24,25,17 Aug,Suncorp Stadium,"35,199",9/16
24,Canberra Raiders,Win,30,19,26 Aug,Suncorp Stadium,"31,614",8/16
25,Parramatta Eels,Loss,22,68,2 Sep,Parramatta Stadium,"17,112",8/16
QF,Melbourne Storm,Loss,0,40,9 Sep,Olympic Park,"15,552",
