Round,Opponent,Result,Brisbane,Opponent,Date,Venue,Crowd,Position,Dummy_Col_1
7,Melbourne Storm,Loss,18,28,27 Apr,Suncorp Stadium,"33,750",13/16,BAiHjBNh
8,South Sydney Rabbitohs,Win,8,4,4 May,Suncorp Stadium,"27,387",12/16,JckxjF
9,Cronulla Sharks,Loss,8,16,11 May,Toyota Park,"12,262",13/16,WxMvKq
10,Manly Sea Eagles,Loss,6,18,21 May,Brookvale Oval,"13,493",14/16,sMfklG
11 **,Newcastle Knights,Win,71,6,27 May,Suncorp Stadium,"27,433",12/16,aLtxnQPM
12,St George Illawarra Dragons,Loss,4,11,1 Jun,Oki Jubilee Stadium,"10,302",15/16,JYQqj
13,BYE,,,,,,,12/16,QqjXnKs
14 **,Canterbury Bulldogs,Win,19,12,15 Jun,Telstra Stadium,"10,121",10/16,dFEWeK
15,Wests Tigers,Win,48,18,25 Jun,Suncorp Stadium,"29,364",9/16,bgbUujJk
16,Penrith Panthers,Win,24,16,30 Jun,CUA Stadium,"8,553",7/16,lWiRxjo
