Year,Men,Sport,Women,Sport,Team,Sport,Promising Talent,Sport,Paralympic,Sport,Coach,Sport,Unused_1
2001,Stefan Everts,motorcross,Kim Clijsters (3),tennis,Belgium Fed Cup team,tennis,Jurgen Van Den Broeck,cycling,,,,,
2000,Joël Smets,motorcross,Kim Clijsters (2),tennis,RSC Anderlecht,football,Bart Aernouts,cyclo-cross,,,,,
1999,Luc Van Lierde (2),triathlon,Kim Clijsters,tennis,Belgium Davis Cup team,tennis,Bart Wellens,cyclo-cross,,,,,
1998,Fred Deburghgraeve (3),swimming,Dominique Monami,tennis,Belgian Motorcross team,motorcross,Kim Clijsters,tennis,,,,,
1997,Luc Van Lierde,triathlon,Gella Vandecaveye (2),judo,Noliko Maaseik,volleyball,,,,,,,
1996,Fred Deburghgraeve (2),swimming,Ulla Werbrouck,judo,,,,,,,,,
1995,Fred Deburghgraeve,swimming,Brigitte Becue (2),swimming,,,,,,,,,
1994,Jean-Michel Saive (2),table tennis,Brigitte Becue,swimming,,,,,,,,,
1993,Vincent Rousseau (2),athletics,Gella Vandecaveye,judo,,,,,,,,,
1992,Georges Jobé (2),motorcross,Annelies Bredael,rowing,,,,,,,,,
1991,Jean-Michel Saive,table tennis,Sabine Appelmans (2),tennis,,,,,,,,,
1990,Rudy Dhaenens,cycling,Sabine Appelmans,tennis,,,,,,,,,
