Year,Men,Sport,Women,Sport,Team,Sport,Promising Talent,Sport,Paralympic,Sport,Coach,Sport,Extra_Data_1
1977,Michel Pollentier,cycling,Anne-Marie Pira (2),athletics,,,,,,,,,41
1976,Ivo Van Damme,athletics,Anne-Marie Pira,athletics,,,,,,,,,973
1975,Bruno Brokken,athletics,Carine Verbauwen,swimming,,,,,,,,,696
1974,Eddy Merckx (6),cycling,–,–,,,,,,,,,830
1973,Eddy Merckx (5),cycling,–,–,,,,,,,,,33
1972,Eddy Merckx (4),cycling,–,–,,,,,,,,,271
1971,Eddy Merckx (3),cycling,–,–,,,,,,,,,763
1970,Eddy Merckx (2),cycling,–,–,,,,,,,,,77
1969,Eddy Merckx,cycling,–,–,,,,,,,,,977
1968,Serge Reding,weightlifting,–,–,,,,,,,,,475
1967,Ferdinand Bracke,cycling,–,–,,,,,,,,,708
