Rank,Name,Heightft / m,Floors,Year,Notes,Random_Column_1,Filler_2
1,Rhodes State Office Tower,629 / 192,41,1973,Has been the tallest building in Columbus and the tallest mid-block skyscraper in Ohio since 1973. Tallest building constructed in Columbus in the 1970s.,iQjsBMdb,yufqzFgV
2,LeVeque Tower,555 / 169,47,1927,Tallest building constructed in Columbus in the 1920s.,rxzWSG,tVKbvb
3,William Green Building,530 / 162,33,1990,Tallest building constructed in Columbus in the 1990s.,WePWUdq8,zLIof
4,Huntington Center,512 / 156,37,1984,Tallest building constructed in Columbus in the 1980s.,jpMDCAz9,BvKAIHV
5,Vern Riffe State Office Tower,503 / 153,32,1988,,Ccm0Rp,aHQrOx
6,One Nationwide Plaza,485 / 148,40,1976,,3f9cb,Thyfc
7,Franklin County Courthouse,464 / 141,27,1991,,JcHAVX8,uDHNi
8,AEP Building,456 / 139,31,1983,,vaA6fl1,IcspOqsA
9,Borden Building,438 / 134,34,1974,,DvHKRH,xEJixsD
10,Three Nationwide Plaza,408 / 124,27,1989,,zrjWq,cBBEwGX
