Rank,Name,Heightft / m,Floors,Year,Notes
11,One Columbus Center,366 / 112,26,1987,
12,Columbus Center,357 / 109,25,1964,Tallest building constructed in Columbus in the 1960s. Was built as the Bank One Tower.
13,Capitol Square,350 / 107,26,1984,
14,Continental Center,348 / 106,26,1973,
15,PNC Bank Building,317 / 97,25,1977,
16,Miranova Condominiums,314 / 96,26,2001,Tallest residential building in the state of Ohio. Tallest building built in the 2000s.
17,Fifth Third Center,302 / 92,25,1998,
18,Motorists Mutual Building,286 / 87,21,1973,
19,Midland Building,280 / 85,21,1970,
20,The Condominiums at North Bank Park,267 / 81,20,2007,
