Rank,Name,Heightft / m,Floors,Year,Notes,Dummy_Col_1,Dummy_Col_2
21=,Lincoln Tower Dormitory,260 / 79,26,1967,,lwGkNWn,UlREOxU
21=,Morrill Tower Dormitory,260 / 79,26,1967,,jqOtwpe,ejNdrn
23,Hyatt Regency Columbus,256 / 78,20,1980,,efRIt,VRquj
24,Key Bank Building,253 / 77,20,1963,,Zsngq,SiKjxByh
25,Adam's Mark Hotel,243 / 74,16,1961,,TEldThPZ,mcPuXdT
26,Town Center,226 / 69,17,1974,,qsTFoFW,vMbZq
27,8 East Broad Street,212 / 64.6,17,1906,,wsbTMF,KtZmG
28,Huntington Building,202 / 59.4,13,1926,,dGWGC,kvyYJmu
29,Ohio Judicial Center,200 / 57.9,14,1933,,asGtu,DCzGiT
30,16 East Broad Street,180 / 64.4,13,1900,,EIrStS,omniJ
