District,Incumbent,Party,Firstelected,Result,Candidates
Virginia 1,"Thomas Newton, Jr.",Adams-Clay Republican,1801,Re-elected,"Thomas Newton, Jr."
Virginia 2,Arthur Smith,Crawford Republican,1821,RetiredJacksonian gain,James Trezvant (J) 75.7%Richard Eppes (DR) 24.3%
Virginia 3,William S. Archer,Crawford Republican,1820 (special),Re-elected,William S. Archer (J) 100%
Virginia 4,Mark Alexander,Crawford Republican,1819,Re-elected,Mark Alexander (J)
Virginia 5,John Randolph,Crawford Republican,17991819,Re-elected,John Randolph (J) 100%
Virginia 6,George Tucker,Crawford Republican,1819,RetiredJacksonian gain,Thomas Davenport (J) 53.9%James Lanier 22.6%Barzillai Graves 16.3%John D. Urquhart 7.2%
Virginia 7,Jabez Leftwich,Crawford Republican,1821,Lost re-electionJacksonian gain,Nathaniel H. Claiborne (J) 51.4%Jabez Leftwich (C-DR) 48.6%
Virginia 8,Burwell Bassett,Crawford Republican,18051821,Re-elected,Burwell Bassett (J) 95.3%Servant Jones (DR) 4.5%Reuben Washer 0.2%
Virginia 9,Andrew Stevenson,Crawford Republican,1821,Re-elected,Andrew Stevenson (J) 100%
Virginia 10,William C. Rives,Crawford Republican,1823,Re-elected,William C. Rives (J) 100%
Virginia 11,Philip P. Barbour,Crawford Republican,1814 (special),RetiredAdams gain,Robert Taylor (A) 100%
