#,Secretary of State,Prime Minister,Tenure
34.,Frederick Gordon Bradley,St. Laurent,"March 31, 1949 – June 11, 1953"
35.,Jack Pickersgill,St. Laurent,"June 11, 1953 – June 30, 1954"
36.,Roch Pinard,St. Laurent,"July 1, 1954 – June 21, 1957"
37.,Ellen Louks Fairclough,Diefenbaker,"June 21, 1957 – May 11, 1958"
38.,Henri Courtemanche,Diefenbaker,"May 12, 1958 – June 19, 1960"
*,Léon Balcer (acting minister),Diefenbaker,"June 21, 1960 – October 10, 1960"
39.,Noël Dorion,Diefenbaker,"October 11, 1960 – July 5, 1962"
*,Léon Balcer (acting minister – 2nd time),Diefenbaker,"July 11, 1962 – August 8, 1962"
40.,George Ernest Halpenny,Diefenbaker,"August 9, 1962 – April 22, 1963"
,Jack Pickersgill (second time),Pearson,"April 22, 1963 – February 2, 1964"
41.,Maurice Lamontagne,Pearson,"February 2, 1964 – December 17, 1965"
