#,Secretary of State,Prime Minister,Tenure
42.,Judy LaMarsh,Pearson,"December 17, 1965 – April 9, 1968"
*,John Joseph Connolly (acting minister),Pearson,"April 10, 1968 – April 20, 1968"
43.,Jean Marchand,Trudeau,"April 20, 1968 – July 5, 1968"
44.,Gérard Pelletier,Trudeau,"July 5, 1968 – November 26, 1972"
45.,James Hugh Faulkner,Trudeau,"November 27, 1972 – September 13, 1976"
46.,John Roberts,Trudeau,"September 14, 1976 – June 3, 1979"
47.,David MacDonald,Clark,"June 4, 1979 – March 2, 1980"
48.,Francis Fox,Trudeau,"March 3, 1980 – September 21, 1981"
49.,Gerald Regan,Trudeau,"September 22, 1981 – October 5, 1982"
50.,Serge Joyal,Trudeau,"October 6, 1982 – June 29, 1984"
50.,Serge Joyal,Turner,"June 30, 1984 – September 16, 1984"
