#,Secretary of State,Prime Minister,Tenure,Irrelevant_1,Extra_Data_2
11.,Arthur Rupert Dickey,Bowell,"December 21, 1894 – March 25, 1895",4kN5K5Go,356
12.,Walter Humphries Montague,Bowell,"March 26, 1895 – December 20, 1895",bDwjp3P,915
*,Joseph Aldéric Ouimet (acting),Bowell,"December 21, 1895 – January 5, 1896",ppNxGG3,321
*,Thomas Mayne Daly (acting),Bowell,"January 6, 1896 – January 14, 1896",SvOeIv,22
13.,Sir Charles Tupper,Bowell,"January 15, 1896 – April 27, 1896",SjWuNq,529
13.,Sir Charles Tupper,as PM,"May 1, 1896 – July 8, 1896",byh2Fh,876
14.,Richard William Scott,Laurier,"July 13, 1896 – October 8, 1908",UURJj5,499
15.,Charles Murphy,Laurier,"October 9, 1908 – October 6, 1911",IdSrr,575
16.,William James Roche,Borden,"October 10, 1911 – October 28, 1912",f5ylEB,951
17.,Louis Coderre,Borden,"October 29, 1912 – October 5, 1915",kx0Lf,410
18.,Pierre Édouard Blondin,Borden,"October 6, 1915 – January 7, 1917",IXxh9JRX,755
