#,Secretary of State,Prime Minister,Tenure
51.,Walter McLean,Mulroney,"September 17, 1984 – April 19, 1985"
52.,Benoit Bouchard,Mulroney,"April 20, 1985 – June 29, 1986"
53.,David Crombie,Mulroney,"June 30, 1986 – March 30, 1988"
54.,Lucien Bouchard,Mulroney,"March 31, 1988 – January 29, 1989"
55.,Gerry Weiner,Mulroney,"January 30, 1989 – April 20, 1991"
56.,Robert de Cotret,Mulroney,"April 21, 1991 – January 3, 1993"
57.,Monique Landry,Mulroney,"January 4, 1993 – June 24, 1993"
57.,Monique Landry,Campbell,"June 24, 1993 – November 3, 1993"
58.,Sergio Marchi,Chrétien,"November 4, 1993 – January 24, 1996"
59.,Lucienne Robillard,Chrétien,"January 25, 1996 – July 12, 1996"
