#,Secretary of State,Prime Minister,Tenure
1.,Hector Louis Langevin,Macdonald,"July 1, 1867 – December 7, 1869"
2.,James Cox Aikins,Macdonald,"December 8, 1867 – November 5, 1873"
3.,David Christie,Mackenzie,"November 7, 1873 – January 8, 1874"
4.,Richard William Scott,Mackenzie,"January 9, 1874 – October 8, 1878"
5.,James Cox Aikins,Macdonald,"October 19, 1878 – November 7, 1880"
6.,John O'Connor,Macdonald,"November 8, 1880 – May 19, 1881"
7.,Joseph-Alfred Mousseau,Macdonald,"May 20, 1881 – July 28, 1882"
8.,Joseph Adolphe Chapleau,Macdonald,"July 29, 1882 – June 6, 1891"
8.,Joseph Adolphe Chapleau,Abbott,"June 16, 1891 – January 24, 1892"
9.,James Colebrooke Patterson,Abbott,"January 25, 1892 – November 24, 1892"
10.,John Costigan,Thompson,"December 5, 1892 – December 12, 1894"
