#,Secretary of State,Prime Minister,Tenure
*,Ernest Lapointe (acting),King,"March 24, 1926 – June 28, 1926"
27.,Guillaume André Fauteux,Meighen,"August 23, 1926 – September 25, 1926"
28.,Fernand Rinfret,King,"September 25, 1926 – August 7, 1930"
29.,Charles Hazlitt Cahan,Bennett,"August 7, 1930 – October 23, 1935"
,Fernand Rinfret (second time),King,"October 23, 1935 – July 12, 1939"
*,Ernest Lapointe (acting – 2nd time),King,"July 26, 1939 – May 8, 1940"
30.,Pierre-François Casgrain,King,"May 9, 1940 – December 14, 1941"
31.,Norman Alexander McLarty,King,"December 15, 1941 – April 17, 1945"
32.,Paul Joseph James Martin,King,"April 18, 1945 – December 11, 1946"
33.,Colin William George Gibson,King,"December 12, 1946 – November 15, 1948"
33.,Colin William George Gibson,St. Laurent,"November 15, 1948 – March 31, 1949"
