Rank,Title,Studio,Actors,Gross
14.,The Gauntlet,Warner Bros.,Clint Eastwood and Sondra Locke,"$35,400,000"
15.,The Turning Point,20th Century Fox,"Shirley MacLaine, Anne Bancroft, Tom Skerritt, Mikhail Baryshnikov and Leslie Browne","$33,600,000"
16.,Heroes,Universal,"Henry Winkler, Sally Field, and Harrison Ford","$33,500,000"
17.,High Anxiety,20th Century Fox,"Mel Brooks, Madeline Kahn, Cloris Leachman, Harvey Korman, Ron Carey, Howard Morris and Dick Van Patten","$31,063,038"
18.,Exorcist II: The Heretic,Warner Bros.,"Linda Blair, Richard Burton, Louise Fletcher, Max von Sydow and James Earl Jones","$30,749,142"
19.,Airport '77,Universal,"Jack Lemmon, Lee Grant and James Stewart","$30,000,000"
20.,Herbie Goes to Monte Carlo,Disney,"Dean Jones, Don Knotts and Julie Sommars","$29,000,000"
21.,Slap Shot,Universal,Paul Newman and Strother Martin,"$28,000,000"
22.,The Other Side of Midnight,20th Century Fox,"Marie-France Pisier, John Beck and Susan Sarandon","$24,652,021"
23.,Looking for Mr. Goodbar,Paramount,"Diane Keaton, Tuesday Weld and Richard Gere","$22,512,655"
24.,For the Love of Benji,Mulberry Square,"Benjean, Patsy Garrett and Ed Nelson","$22,257,624"
25.,The World's Greatest Lover,20th Century Fox,"Gene Wilder, Carol Kane and Dom DeLuise","$21,000,000"
26.,Julia,20th Century Fox,"Jane Fonda, Vanessa Redgrave, Jason Robards, Hal Holbrook, Rosemary Murphy and Maximilian Schell","$20,714,400"
