P.S. #,School Name,Neighborhood,Low Grade,High Grade,Year Closed,Building Status,Random_Column_1,Dummy_Col_2,Extra_Data_3
15,School 15,Downtown,K,8,1965,Demolished,D122x,WgvRF,302
16,School 16,Bryant,K,8,1976,Private Apartments,f9bdjARI,EUvjglq,398
20,School 20,Black Rock,K,8,1935,Demolished,1MGTeib,TzWLVPl,561
21,School 21,North Park,K,8,1980,Demolished,qScm2v,QvfLVAa,318
22,School 22,Central Park,K,8,1980,Private Apartments,fNNp4,TdqfAe,591
23,School 23,Genesee Moselle,K,8,1980,Demolished,vHyi8Jwg,AqIsCl,32
24,School 24,Broadway-Fillmore,K,8,2002,Vacant,LeL78KBH,mYlEb,781
25,School 25,Babcock,K,8,1949,Demolished,f6TeaT,vKZXt,45
26,School 26,Babcock,K,8,1980,Vacant,THzNObl,zRNWlJZC,821
28,Triangle Academy,Triangle,K,8,1949,Houses Buffalo Public Schools' Department of Science,vuKZEL,EftoC,578
29,School 29,South Park,K,8,1980,Houses South Buffalo Charter School,zV7hUKzc,QlWlMUv,682
