P.S. #,School Name,Neighborhood,Low Grade,High Grade,Year Closed,Building Status
70,Indian Park Academy,Cazenovia Park,K,8,2002,Vacant
71,WEB Early Childhood Center,Schiller Park,PreK,4,2007,Vacant
73,School 73,Columbus,K,8,1970,Demolished
75,School 75,Emslie,K,8,1979,Vacant
77,School 77,Front Park,PreK,4,2006,Vacant
78,Montessori E.C.C. 78,LaSalle,PreK,8,2008,Vacant
79,School 79,Military,K,8,1976,Northwest Community Center
83,School 83,University Heights,K,4,1976,Houses Anderson Gallery for University at Buffalo
85,School 85,Kensington,K,4,1976,Houses Community Charter School
86,St. Lawrence Academy,Starin Central,PreK,4,2004,Houses BPS' Adult Learning Program
87,School 87,Willert Park,5,12,2007,Vacant
