P.S. #,School Name,Neighborhood,Low Grade,High Grade,Year Closed,Building Status
50,School 50,Emsilie,Special,Education,1975,Demolished
51,Black Rock Academy,Black Rock,PreK,8,2005,Vacant
52,School 52,Forest,K,8,1980,Demolished
55,School 55,Broadway-Fillmore,K,8,1955,Demolished
56,School 56,Albright,PreK,8,2007,Vacant
57,Broadway Village Elementary School,Broadway-Fillmore,PreK,6,2003,Vacant
58,School 58,Broadway-Fillmore,K,8,1961,Demolished
59,School 59,MLK Park,K,8,1976,Demolished
60,Riverside Academy,Riverside,PreK,4,2002,Renovation
62,School 62,MLK Park,K,8,1980,Houses Crucial Human Services
63,Campus North School,LaSalle,PreK,8,2007,Vacant
