P.S. #,School Name,Neighborhood,Low Grade,High Grade,Year Closed,Building Status
88,School 88,North Park,K,4,1979,North Buffalo Community Center
93,School 93,Hamlin Park,K,4,1975,Community Action Organization
96,Campus West School,Black Rock,PreK,8,2011,Used by Buffalo State College
142,Fulton Academic Complex,Perry,K,8,1982,Opportunity Center
171,WEB Middle School,Schiller Park,5,8,2006,Vacant
192,Buffalo Traditional School,Masten Park,5,12,2005,Houses Buffalo Academy for Visual & Performing Arts
202,Grover Cleveland High School,Front Park,9,12,2011,Houses The International Preparatory School
203,Kensington High School,Kenfield,9,12,2003,Houses Frederick Law Olmsted High School
302,Emerson Vocational High School,Emerson,9,12,2002,Houses Harvey Austin School
306,Seneca Vocational High School,Grider,9,12,2003,"Houses Math, Science & Technology Preparatory School"
307,Buffalo Vocational Technical Center,MLK Park,9,12,2003,Houses East High School
