P.S. #,School Name,Neighborhood,Low Grade,High Grade,Year Closed,Building Status,Irrelevant_1,Extra_Data_2,Irrelevant_3
30,School 30,Elmwood Village,K,8,1976,Demolished,GCtyee,755,KtQwaVUj
34,School 34,First Ward,K,8,1976,Demolished,qEB5L,193,nK1du
35,School 35,South Ellicott,K,8,1933,Demolished,jFaA4,469,Nd7N6Cix
36,Days Park Early Childhood Center,Allentown,PreK,4,2009,Houses Elmwood Village Charter School,JXg5r7,992,WzJ5wA
40,School 40,Babcock,PreK,6,2006,Houses The Academy School 171,vcTGkpi,207,o52Tz1
41,School 41,Johnson,PreK,8,1976,Demolished,sNyCC,847,LLCaBLG
42,School 42,Black Rock,PreK,8,1979,Community Center/Apartments,VyY2P2,930,hhdxkumb
44,Lincoln Academy,Lovejoy,K,8,2005,Houses Alternative High School,nD8OL8,582,0f0hos
47,School 47,Willert Park,PreK,8,1978,Demolished,60oQlHpx,787,lnElSQ
48,School 48,Masten Park,K,8,1979,Demolished,jciN49Z,823,UFpyR
49,School 49,Front Park,K,8,1980,Community Services building,CqOSvGBy,222,kCfah5CI
