#,Wrestlers,Reign,Date,Days held,Location,Event,Notes
43,The Dudley Boyz,8,"August 26, 1999",0,"New York, NY",ECW on TNN#2,Aired 9-3-99 on TV
44,Tommy Dreamer (2) and Raven (3),1,"August 26, 1999",136,"New York, NY",ECW on TNN#2,Aired 9-3-99 on TV
45,Impact Players(Justin Credible and Lance Storm (2)),1,"January 9, 2000",48,"Birmingham, AL",Guilty as Charged (2000),
46,Tommy Dreamer (3) and Masato Tanaka (2),1,"February 26, 2000",7,"Cincinnati, OH",Hardcore TV #358,Aired 3-7-00 on TV
47,Mike Awesome and Raven (4),1,"March 4, 2000",8,"Philadelphia, PA",ECW on TNN#29,Aired 3-10-00 on TV
48,Impact Players(Justin Credible and Lance Storm (3)),2,"March 12, 2000",31,"Danbury, CT",Living Dangerously,
—,Vacated,3,"April 22, 2000",125,"Philadelphia, PA",Live event,"At CyberSlam, Justin Credible threw down the titles to become eligible for the ECW World Heavyweight Championship. Storm later left for World Championship Wrestling. As a result of the circumstances, Credible vacated the championship."
49,Yoshihiro Tajiri and Mikey Whipwreck (3),1,"August 25, 2000",1,"New York, NY",ECW on TNN#55,Aired 9-1-00 on TV
50,Full Blooded Italians(Little Guido (2) and Tony Mamaluke),1,"August 26, 2000",99,"New York, NY",ECW on TNN#56,Aired 9-8-00 on TV
51,Danny Doring and Roadkill,1,"December 3, 2000",122,"New York, NY",Massacre on 34th Street,Doring and Roadkill's reign was the final one in the title's history.
