#,Wrestlers,Reign,Date,Days held,Location,Event,Notes
21,Cactus Jack and Mikey Whipwreck,2,"December 29, 1995",36,"New York, NY",Holiday Hell 1995,Whipwreck defeated 2 Cold Scorpio in a singles match to win both the tag team titles and the ECW World Television Championship; Cactus Jack came out and declared himself to be Mikey's partner after he won the match.
22,The Eliminators(Kronus and Saturn),1,"February 3, 1996",182,"New York, NY",Big Apple Blizzard Blast,
23,The Gangstas(Mustapha Saed and New Jack),1,"August 3, 1996",139,"Philadelphia, PA",Doctor Is In,
24,The Eliminators,2,"December 20, 1996",85,"Middletown, NY",Hardcore TV #193,Aired on 12/31/96 on Hardcore TV
25,The Dudley Boyz(Buh Buh Ray Dudley and D-Von Dudley),1,"March 15, 1997",29,"Philadelphia, PA",Hostile City Showdown,Aired 3/20/97 on Hardcore TV
26,The Eliminators,3,"April 13, 1997",68,"Philadelphia, PA",Barely Legal,
27,The Dudley Boyz,2,"June 20, 1997",29,"Waltham, MA",Hardcore TV #218,The Dudley Boyz defeated Kronus in a handicap match as a result of a sidelining injury sustained by Saturn. Aired 6-26-97 on TV
28,The Gangstas,2,"July 19, 1997",29,"Philadelphia, PA",Heat Wave 1997/Hardcore TV #222,Aired 7-24-97 on TV
29,The Dudley Boyz,3,"August 17, 1997",95,"Fort Lauderdale, FL",Hardcore Heaven (1997),The Dudley Boyz won the championship via forfeit as a result of Mustapha Saed leaving the promotion before Hardcore Heaven took place.
30,The Gangstanators(Kronus (4) and New Jack (3)),1,"September 20, 1997",28,"Philadelphia, PA",As Good as it Gets,Aired 9-27-97 on TV
31,Full Blooded Italians(Little Guido and Tracy Smothers),1,"October 18, 1997",48,"Philadelphia, PA",Hardcore TV #236,Aired 11-1-97 on TV
