#,Wrestlers,Reign,Date,Days held,Location,Event,Notes,Dummy_Col_1,Noise_Field_2,Filler_3
32,Doug Furnas and Phil LaFon,1,"December 5, 1997",1,"Waltham, MA",Live event,,ziFLWi,avWLZfe,BMXhHIVY
33,Chris Candido (3) and Lance Storm,1,"December 6, 1997",203,"Philadelphia, PA",Better than Ever,,sebvxz,nUzSNxV,CJrSNa
34,Sabu (2) and Rob Van Dam,1,"June 27, 1998",119,"Philadelphia, PA",Hardcore TV #271,Aired 7-1-98 on TV,HUxwr,gPUhOil,YPEjFop
35,The Dudley Boyz,4,"October 24, 1998",8,"Cleveland, OH",Hardcore TV #288,Aired 10-28-98 on TV,AzCxSA,KKuTCC,rBsWvyV
36,Balls Mahoney and Masato Tanaka,1,"November 1, 1998",5,"New Orleans, LA",November to Remember (1998),,uayLuhai,FzxotDCP,qXxOuey
37,The Dudley Boyz,5,"November 6, 1998",37,"New York, NY",Hardcore TV #290,Aired 11-11-98 on TV,VKFZTg,kqRDJa,tELKSy
38,Sabu (3) and Rob Van Dam,2,"December 13, 1998",125,"Tokyo, Japan",ECW/FMW Supershow II,Aired 12-16-98 on TV,QhuCHV,HRnaDS,xbuJiV
39,The Dudley Boyz,6,"April 17, 1999",92,"Buffalo, NY",Hardcore TV #313,D-Von Dudley defeated Van Dam in a singles match to win the championship for his team. Aired 4-23-99 on TV,vnZxs,KLhWxFv,lrkpM
40,Spike Dudley and Balls Mahoney (2),1,"July 18, 1999",26,"Dayton, OH",Heat Wave (1999),,DvuQfAvW,pkUZHXR,xAuiBBRH
41,The Dudley Boyz,7,"August 13, 1999",1,"Cleveland, OH",Hardcore TV #330,Aired 8-20-99 on TV,jKZkk,TohPO,ViGEVt
42,Spike Dudley and Balls Mahoney (3),2,"August 14, 1999",12,"Toledo, OH",Hardcore TV #331,Aired 8-27-99 on TV,dBLId,SXRDNzzI,BMSqp
