#,Wrestlers,Reign,Date,Days held,Location,Event,Notes
1,The Super Destroyers(A.J. Petrucci and Doug Stahl),1,"June 23, 1992",283,"Philadelphia, PA",Live event,Petrucci and Stahl won the titles in a tournament final.
2,Tony Stetson and Larry Winters,1,"April 2, 1993",1,"Radnor, PA",Hardcore TV #6,Aired 5-11-93 on TV
3,"The Suicide Blondes(Chris Candido, Johnny Hotbody, and Chris Michaels)",1,"April 3, 1993",42,"Philadelphia, PA",Hardcore TV #8,"All three wrestlers were recognized as champions, and were able to defend the titles in any combination via the Freebird rule. Aired 5-25-93 on TV"
4,The Super Destroyers,2,"May 15, 1993",0,"Philadelphia, PA",Hardcore TV #14,Aired 7-6-93 on TV
5,The Suicide Blondes,2,"May 15, 1993",46,"Philadelphia, PA",Hardcore TV #15,Aired 7-20-93 on TV
—,Vacated,1,July 1993,39,N/A,N/A,ECW vacated the title after Candido left the promotion for the Smoky Mountain Wrestling organization.
6,The Dark Patriot and Eddie Gilbert,1,"August 8, 1993",54,"Philadelphia, PA",Hardcore TV #21,The Dark Patriot and Gilbert won the titles in a tournament final. Aired 9-7-93 on TV
—,Vacated,2,"October 1, 1993",0,"Philadelphia, PA",Bloodfest: Part 1,ECW vacated the championships after The Dark Patriot and Eddie Gilbert left the organization.
7,Johnny Hotbody (3) and Tony Stetson (2),1,"October 1, 1993",43,"Philadelphia, PA",Bloodfest: Part 1,Hotbody and Stetson were awarded the titles by ECW.
8,Tommy Dreamer and Johnny Gunn,1,"November 13, 1993",21,"Philadelphia, PA",November to Remember (1993),
9,Kevin Sullivan and The Tazmaniac,1,"December 4, 1993",92,"Philadelphia, PA",Hardcore TV #35,"Defeat Dreamer and Shane Douglas, who was substituting for an injured Gunn. After the bout, Douglas turned against Dreamer and became a heel. Aired 12-14-93 on TV"
