Date,Opponent#,Rank#,Site,Result,Attendance,Record,Noise_Field_1,Irrelevant_2
1/2/1986,vs. Minnesota,#14,"Assembly Hall • Champaign, IL",W 76-57,"13,329",10-2 (1-0),zSWhYT,lJKM4K2
1/4/1986,vs. Iowa,#14,"Assembly Hall • Champaign, IL",L 59-60,"16,676",10-3 (1-1),SxrhXsG,rxXeg2VF
1/8/1986,@ #2 Michigan,#18,"Crisler Arena • Ann Arbor, MI",L 59-61,"13,609",10-4 (1-2),WzyfRdY,KlahVr
1/12/1986,@ Michigan State,#18,"Jenison Fieldhouse • East Lansing, MI",L 51-58,"7,912",10-5 (1-3),yJyXnv,B66E5c
1/16/1986,vs. Wisconsin,#NR,"Assembly Hall • Champaign, IL",W 73-54,"12,829",11-5 (2-3),BoWTAu,Q6e1u6
1/18/1986,vs. Northwestern,#NR,"Assembly Hall • Champaign, IL",W 72-46,"13,891",12-5 (3-3),iVbVPxl,Ov6e2u
1/23/1986,@ Ohio State,#NR,"St. John Arena • Columbus, OH",W 67-65,"13,071",13-5 (4-3),fQOfKog,lsJzj5
1/25/1986,@ Indiana,#NR,"Assembly Hall • Bloomington, IN",L 69-71,"17,128",13-6 (4-4),CkeRlPeF,w4NvlSP
2/2/1986,vs. Purdue,#NR,"Assembly Hall • Champaign, IL",W 80-68,"16,412",14-6 (5-4),LaMhE,XVeHus11
2/6/1986,vs. Michigan State,#NR,"Assembly Hall • Champaign, IL",L 80-84,"15,947",14-7 (5-5),aOujRyhL,993nckK
2/8/1986,vs. Michigan,#NR,"Assembly Hall • Champaign, IL",W 83-79 ot,"16,353",15-7 (6-5),Fdcoh,VnARMP
