Date,Opponent#,Rank#,Site,Result,Attendance,Record,Noise_Field_1,Extra_Data_2,Extra_Data_3
11/26/1985*,vs. Loyola (Chicago),#7,"Assembly Hall • Champaign, IL",W 95-64,"13,143",1-0,dPSuE,575,991
11/26/1985*,vs. Hawaii Loa,#7,"Kaneohe Armory • Honolulu, HI(Hawaii Thanksgiving Invitational)",W 72-45,200,2-0,TqSstoq,963,155
11/29/1985*,vs. #13 Oklahoma,#7,"Kaneohe Armory • Honolulu, HI(Hawaii Thanksgiving Invitational)",L 57-59,300,2-1,YCINq,732,815
12/4/1985*,vs. Wisconsin-Green Bay,#12,"Assembly Hall • Champaign, IL",W 84-34,"13,417",3-1,cObmW,409,579
12/6/1985*,vs. Eastern Kentucky,#12,Assembly Hall • Champaign(Illini Classic),W 79-56,"13,707",4-1,teCEt,346,8
12/7/1985*,vs. Utah State,#12,Assembly Hall • Champaign(Illini Classic),W 115-64,"13,980",5-1,HJnPQyvT,991,856
12/10/1985*,vs. Tennessee,#10,"Mabee Center • Tulsa, OK",L 51-54,"12,700",5-2,olyGjHPm,137,467
12/14/1985*,vs. Houston,#10,"Assembly Hall • Champaign, IL",W 102-92,"15,564",6-2,mYbJKYtt,279,669
12/21/1985*,vs. Missouri,#15,"St. Louis Arena • St. Louis, MO(Braggin' Rights)",W 67-55,"13,106",7-2,MIdSNZE,830,149
12/23/1985*,vs. Howard,#15,"Assembly Hall • Champaign, IL",W 67-55,"10,043",8-2,RStfq,84,420
12/30/1985*,vs. Iowa State,#16,"Rosemont Horizon • Rosemont, IL",W 64-62,"9,876",9-2,TEsCch,629,639
