Class,No,Team,Drivers,Chassis,Engine,Laps,Extra_Data_1
GT1.6,192,Scuderia Pegaso,Giovanni Dell'Olio Vincenzo Virgilio,Alfa Romeo GTA,Alfa Romeo 1.6L I4,3,297
GT1.6,198,Salvatore Gagliano,Salvatore Gagliano Alfonso di Garbo,Alfa Romeo GTA,Alfa Romeo 1.6L I4,3,254
GT1.6,204,Gianluigi Verna,Francesco Cosentino Gianluigi Verna,Alfa Romeo GTA,Alfa Romeo 1.6L I4,3,64
P1.0,254,Romano Martini,"Francesco Patané \Oras\""""",Fiat-Abarth 1000SP,Abarth 1.0L I4,3,953
GT1.6,264,Romano Martini,Romano Martini Alessandro Federico,ATS 1000 SP,Ford 1.0L I4,3,991
P3.0,38,Abarth-Osella,Arturo Merzario Johannes Ortner,Abarth 3000SP,Abarth 3.0L V8,2,176
P1.0,256,Scuderia Brescia Corse,"Luigi Moreschi \Patrizia\""""",AMS SP,Ford 1.0L I4,2,275
P1.0,266,"\Gero\""""","\Gero\""",,,,629
" \""Roger\""""",De Sanctis,Ford 1.0L I4,2,,,,458
GT1.6,276,Scuderia Pegaso,Antonio Catalano Marco de Bartoli,Lancia Fulvia HF,Lancia 1.6L V4,2,478
