Class,No,Team,Drivers,Chassis,Engine,Laps,Extra_Data_1,Extra_Data_2,Unused_3
GT2.0,124,Giampaolo Baruffi,Giancarlo Sala Giampaolo Baruffi,Porsche 911,Porsche 2.0L Flat-6,1,340,715,
GT1.6,196,Giovanni Rizzo,Giovanni Rizzo Stefano Alongi,Alfa Romeo GTA,Alfa Romeo 1.6L I4,1,615,205,
S1.3,232,Aldo Bersano,Aldo Bersano William Scheeren,Abarth 1300S,Abarth 1.3L I4,1,702,201,
GT1.3,272,Jolly Club,Antonio Trenti Alberto Fasce,Lancia Fulvia HF,Lancia 1.6L V4,1,508,682,
P3.0,20,Porsche System,Vic Elford Hans Herrmann,Porsche 908/03,Porsche 3.0L Flat-8,0,383,833,
P3.0,32,Autodelta SpA,Umberto Maglioli Nanni Galli,Alfa Romeo T33/3,Alfa Romeo 3.0L V8,0,449,938,
GT1.6,204,Antonio Guagliardo,Antonio La Luce Antonio Guagliardo,Abarth 2000S,Alfa Romeo 1.6L I4,0,619,280,
P1.3,220,Jack Wheeler,Jack Wheeler Martin Davidson,Jerboa SP,BMC 1.3L I4,0,107,694,
S1.3,234,Settecolli,Enzo Buzzetti Gianni Marini,Abarth 1300S,Abarth 1.6L I4,0,436,654,
GT1.3,280,Scuderia Pegaso,Giuseppe Chiaramonte Giuseppe Spatafora,Lancia Fulvia HF,Lancia 1.6L V4,0,44,500,
