Name,Function,Sentence,Dummy_Col_1,Random_Column_2
Otto Meissner,Head of the Presidential Chancellery,acquitted,dOsxxamk,n2igGn
Otto Dietrich,Reichspressechef of the NSDAP and Secretary of State in the Propagandaministerium,7 years' imprisonment incl. time already served; released in 1950.,eZOBs,Uzxyy
Gottlob Berger,"Head of the SS-Hauptamt, SS-Obergruppenführer",25 years' imprisonment; reduced to 10 years in 1951; released the same year.,SkbwtBX,E32coi
Walter Schellenberg,"Second-in-command of the Gestapo, head of the SD and the Abwehr, and successor of Wilhelm Canaris as the head of the Combined Secret Services; SS-Brigadeführer.",6 years' imprisonment incl. time already served,GzyDBX,WgOOq
Lutz Graf Schwerin von Krosigk,Minister of Finance,10 years' imprisonment; released in 1951,nUsozRG,M25yewKF
Emil Puhl,Vice-president of the Reichsbank,5 years' imprisonment incl. time already served,hGLdLjL,kdCKpg
Karl Rasche,Director of the Dresdner Bank,7 years' imprisonment incl. time already served,jpiPpq,cP5n1
Paul Körner (de),"Secretary of State, deputy of Göring.",15 years' imprisonment; reduced to 10 years in 1951; released the same year.,fJJfS,vtdl5
Paul Pleiger,Head of the Reichswerke Hermann Göring (confiscated steel plants employing slave laborers),15 years' imprisonment; reduced to 10 years in 1951; released the same year.,tbJWz,OrSxJqJ
Hans Kehrl (de),Secretary in the Ministry of Armament; head of the planning office,15 years' imprisonment; released in 1951,cVIrPMTy,jEedc2h
