Name,Function,Sentence
Ernst von Weizsäcker,"Permanent Secretary of State in the Auswärtiges Amt (Foreign Ministry) under Ribbentrop until 1943, then ambassador to the Holy See; SS-Brigadeführer.","7 years' imprisonment; reduced to 5 years on December 12, 1949, released in October 1950."
Gustav Adolf Steengracht von Moyland,Successor of von Weizsäcker as Secretary of State in the Foreign Ministry (until 1945),"7 years' imprisonment; reduced to 5 years on December 12, 1949, released 1950"
Wilhelm Keppler,Secretary of State; Hitler's advisor for economy,10 years' imprisonment; released 1951
Ernst Wilhelm Bohle,"NS-Gauleiter, Secretary of State in the Foreign Ministry; head of the Auslandorganisation (foreign organization) of the NSDAP.",5 years' imprisonment
Ernst Woermann (de),Secretary in the Foreign Ministry; head of the political division.,"7 years' imprisonment; reduced to 5 years on December 12, 1949; released 1951"
Karl Ritter,Liaison between Foreign Office and the High Command of the German armed forces.,4 years' imprisonment incl. time already served; released after the judgment.
Otto von Erdmannsdorff,Secretary in the Foreign Ministry; deputy to Wörmann.,acquitted
Edmund Veesenmayer,Plenipotentiary in Hungary,20 years' imprisonment; reduced to 10 years in 1951 and released the same year.
Hans Heinrich Lammers,Head of the Reich Chancellery,"20 years' imprisonment; reduced to 10 years in January 1951 and released December 16, 1951."
Wilhelm Stuckart,Secretary of State in the Interior Ministry,Time already served (3 years and 10 months)
Richard Walther Darré,Minister for Food and Agriculture,7 years' imprisonment; released 1950
