Year,Title,Role,Notes,Noise_Field_1,Random_Column_2
1989–1993,Short Attention Span Theater,Host,Co-Presented four seasons,idsPZdtI,PQ8JgQ4
1993–1995,The Jon Stewart Show,Host,"Creator, Executive producer, Writer",wqzqD,4GkQOnyt
1996,The Larry Sanders Show,Himself,6 episodes from 1996-1998,shBgcPfs,adbvfMfQ
1997,The Nanny,Bobby,"Episode: \Kissing Cousins\""""",quSFI,MUw4U
1997,NewsRadio,Andrew,"Episode: \Twins\""""",LqomuqC,OefgK08B
1997,"Dr Katz, Professional Therapist",Jon,"Voice, Episode \Guess Who\""""",nJkBYFJ,74SZHhgo
1997,Space Ghost Coast to Coast,Himself,"Episode: \Mayonnaise\""""",asyadv,oJcp0
1997,Mr. Show,Himself,"Episode: \A White Man Set Them Free\""""",wKWNrK,bm5GKLfa
1998,Elmopalooza,Himself,TV Special,ysAPnb,joF9o
1999,Spin City,Parker,"Episode: \Wall Street\""""",feWAsqQ,rtCQb
1999–present,The Daily Show,Host,"Executive producer, Writer",YZAysSaZ,e7SSMmo
