Year,Title,Role,Notes
2001,43rd Annual Grammy Awards,Host,TV Special
2002,44th Annual Grammy Awards,Host,TV Special
2002,Saturday Night Live,Host,"Episode: \Jon Stewart/India.Arie\"""""
2006,78th Academy Awards,Host,TV Special
2006,American Dad,Himself,"Voice, Episode: \Irregarding Steve\"""""
2007,Jack's Big Music Show,Brunk Stinegrouber,"Episode: \Groundhog Day\"""""
2008,The Simpsons,Himself,"Voice, Episode: \E Pluribus Wiggum\"""""
2008,80th Academy Awards,Host,TV Special
2012,Robot Chicken,"Matt Trakker, Serpentor","Voice, Episode: \Executed by the State\"""""
2013,Big Time Rush,Himself,"Episode: \Big Time Invasion\"""""
