Year,Crystal Bicycle(Best Professional Cyclist),Best Young Rider,Best Manager,Crystal Drop of Sweat(Best Helper),Unused_1,Noise_Field_2,Unused_3
1992,Dirk De Wolf,Not Awarded,Not Awarded,Not Awarded,,sOpVQ,
1993,Johan Museeuw,Not Awarded,Not Awarded,Not Awarded,,dBCYQ,
1994,Paul Herygers,Kristof Trouvé,Not Awarded,Not Awarded,,geTZNGAO,
1995,Johan Museeuw,Leif Hoste,Not Awarded,Not Awarded,,uixAN,
1996,Johan Museeuw,Glenn D'Hollander,Not Awarded,Not Awarded,,riFNqQQ,
1997,Johan Museeuw,Sven Nys,Not Awarded,Not Awarded,,TEbfIY,
1998,Tom Steels,Sven Nys,Not Awarded,Not Awarded,,wBLRt,
1999,Frank Vandenbroucke,Kevin Hulsmans,Not Awarded,Not Awarded,,sJqHsXc,
2000,Andrei Tchmil,Jurgen Van Goolen,Patrick Lefevere & Johan Bruyneel,Not Awarded,,HFpBljs,
2001,Rik Verbrugghe,Tom Boonen,Jef Braeckevelt,Not Awarded,,YfJABl,
2002,Johan Museeuw,Kevin De Weert,Johan Bruyneel,Not Awarded,,MOmQQd,
