Year,Winner,Score,County,Opponent,Score,County,Random_Column_1,Random_Column_2
2002-03,Birr,2-05,Offaly,Gowran,1-02,Kilkenny,XYR84tUZ,Rq72hkrJ
2001-02,Birr,0-10; 2-10,Offaly,Castletown,1-07; 0-05,Laois,zb7yY,V25xdnA
2000-01,Graigue-Ballycallan,0-14,Kilkenny,UCD,1-08,Dublin,Y97lhdx6,i82hYNp
1999-00,Birr,1-16,Offaly,Castletown,0-11,Laois,WVePSDS,7hDtc
1998-99,Rathnure,1-13,Wexford,Portlaoise,1-06,Laois,6He33Hu,BUwsP
1997-98,Birr,0-11,Offaly,Castletown,0-05,Laois,8opSr,PJ2nIOKz
1996-97,Camross,1-12,Laois,O'Toole's,2-05,Dublin,nWOrtT9,HBqlYc
1995-96,Glenmore,2-13,Kilkenny,Oulart-the-Ballagh,2-10,Wexford,EyL8aI,LUQP8Y
1994-95,Birr,3-07,Offaly,Oulart-the-Ballagh,2-05,Wexford,zlQ8dx,ydqqO
1993-94,St. Rynagh's,1-14,Offaly,Dicksboro,2-10,Kilkenny,x2zOHV,7lRnxp
1992-93,Buffer's Alley,2-13,Wexford,St. Rynagh's,0-13,Offaly,7JGnNka,p6Uoe
