Year,Winner,Score,County,Opponent,Score,County,Irrelevant_1
1991-92,Birr,2-14,Offaly,Ballyhale Shamrocks,0-03,Kilkenny,nNDGIcu
1990-91,Glenmore,0-15,Kilkenny,Camross,1-09,Laois,i0Ujq9h
1989-90,Ballyhale Shamrocks,2-11,Kilkenny,Cuala,0-07,Dublin,SWLOnp7G
1988-89,Buffer's Alley,1-12,Wexford,Ballyhale Shamrocks,1-09,Kilkenny,wRQiy
1987-88,Rathnure,3-08,Wexford,Portlaoise,1-13,Laois,Q9Yhb
1986-87,Rathnure,2-16,Wexford,Camross,3-09,Laois,72LhHZE
1985-86,Buffer's Alley,3-09,Wexford,Kinnitty,0-07,Offaly,DTpu7PWZ
1984-85,St. Martin's,2-11,Kilkenny,Kinnitty,0-12,Offaly,GjtMjt4s
1983-84,Ballyhale Shamrocks,3-06,Kilkenny,Kinnitty,0-09,Offaly,E1p4cy
1982-83,St. Rynagh's,1-16,Offaly,Buffer's Alley,2-10,Wexford,JLRaVO
1981-82,James Stephens,0-13,Kilkenny,Faythe Harriers,1-09,Wexford,YLR3X4
