Year,Winner,Score,County,Opponent,Score,County
1980-81,Ballyhale Shamrocks,3-10,Kilkenny,Coolderry,1-08,Offaly
1979-80,Crumlin,3-05,Dublin,Camross,0-11,Laois
1978-79,Ballyhale Shamrocks,1-13,Kilkenny,Crumlin,1-06,Dublin
1977-78,Rathnure,0-16,Wexford,The Fenians,1-10,Kilkenny
1976-77,Camross,3-09,Laois,James Stephens,1-14,Kilkenny
1975-76,James Stephens,1-14,Kilkenny,St. Rynagh's,2-04,Offaly
1974-75,The Fenians,2-06,Kilkenny,St. Rynagh's,1-06,Offaly
1973-74,Rathnure,1-18,Wexford,St. Rynagh's,2-09,Offaly
1972-73,St. Rynagh's,5-05,Offaly,Rathnure,2-13,Wexford
1971-72,Rathnure,2-12,Wexford,Bennettsbridge,1-08,Kilkenny
1970-71,St. Rynagh's,4-10,Offaly,Rathnure,2-09,Wexford
