No.,Title (Latin),Title (English translation),Subject,Date
14.,Singulari Quidem,,On the Church in Austria,17 March 1856
15.,Cum Nuper,,On Care for Clerics,20 January 1858
16.,Amantissimi Redemptoris,,On Priests and the Care of Souls,3 May 1858
17.,Cum Sancta Mater Ecclesia,,Pleading for Public Prayer,27 April 1859
18.,Qui Nuper,,On the Pontifical States,18 June 1859
19.,Nullis Certe Verbis,,On the Need for Civil Sovereignty,19 January 1860
20.,Amantissimus,,On the Care of the Churches,8 April 1862
21.,Quanto Conficiamur Moerore,,On Promotion of False Doctrines,10 August 1863
22.,Incredibili,,On the Persecution in New Granada,17 September 1863
23.,Maximae Quidem,,On the Church in Bavaria,18 August 1864
24.,Quanta Cura,,Condemning Current Errors,8 December 1864
25.,Meridionali Americae,,On the Seminary for the Native Clergy,30 September 1865
26.,Levate,,On the Affiliations of Church,27 October 1867
