No.,Title (Latin),Title (English translation),Subject,Date,Random_Column_1,Dummy_Col_2
27.,Respicientes,,Protesting the Taking of the Pontifical States,1 November 1870,2SMkQJ,TdbfLde
28.,Ubi Nos,"\Our City\""""",On the Pontifical States,15 May 1871,1ak8b,oMUQUGTf
29.,Beneficia Dei,,On the 25th Anniversary of His Pontificate,4 June 1871,VKjBq7,JGrJyibv
30.,Saepe Venerabiles Fratres,,Thanksgiving for 25 Years of Pontificate,5 August 1871,cXcSm9,ZLMwGn
31.,Quae In Patriarchatu,,On the Church in Chaldea,16 November 1872,aJgxY,ngnBP
32.,Quartus Supra,,On the Church in Armenia,January 1873,eEHzpA,RNOyDmyE
33.,Etsi Multa,,"On the Church in Italy, Germany and Switzerland",21 November 1873,1oKwR51e,wJeBbvp
34.,Vix Dum A Nobis,,On the Church in Austria,7 March 1874,OnDm12,NWPNkvU
35.,Omnem Sollicitudinem,,On the Greek-Ruthenian Rite,13 May 1874,9n8KXl,lzlNiV
36.,Gravibus Ecclesiae,,Proclaiming A Jubilee,24 December 1874,rDQjLK,zNJCiryn
37.,Quod Nunquam,,On the Church in Prussia,5 February 1875,IsSRzueD,zQySoO
38.,Graves Ac Diuturnae,,On the Church in Switzerland,23 March 1875,TvRup6B,ldjidbIw
