Edition,Year,Men's winner,Time (h:m:s),Women's winner,Time (h:m:s)
22nd,2001,Zacharia Mpolokeng (RSA),2:14:03,Debbie Robinson (GBR),2:35:40
21st,2000,Simon Pride (GBR),2:18:49,Sonia O'Sullivan (IRL),2:35:42
20th,1999,John Mutai (KEN),2:15:18,Esther Kiplagat (KEN),2:34:24
19th,1998,Joshua Kipkemboi (KEN),2:20:00,Teresa Duffy (IRL),2:39:56
18th,1997,Joshua Kipkemboi (KEN),2:15:56,Carol Galea (MLT),2:39:33
17th,1996,Joseph Kahugu (KEN),2:17:42,Cathy Shum (IRL),2:38:56
16th,1995,William Musyoki (KEN),2:16:57,Trudi Thomson (GBR),2:38:23
15th,1994,Steve Brace (GBR),2:17:13,Linda Rushmere (GBR),2:40:17
14th,1993,John Treacy (IRL),2:14:40,Cathy Shum (IRL),2:38:14
13th,1992,Jerry Kiernan (IRL),2:17:19,Karen Cornwall (GBR),2:41:58
12th,1991,Tommy Hughes (GBR),2:14:46,Christine Kennedy (IRL),2:35:56
