Edition,Year,Men's winner,Time (h:m:s),Women's winner,Time (h:m:s),Dummy_Col_1,Dummy_Col_2
11th,1990,John Bolger (IRL),2:17:17,Christine Kennedy (IRL),2:41:27,McUOEXnD,GcCIN
10th,1989,John Griffin (IRL),2:16:44,Pauline Nolan (IRL),2:44:32,FZORVaEB,ZTOYthp
9th,1988,John Griffin (IRL),2:16:02,Moira O'Neill (GBR),2:37:06,XgQpzi,QvBILsW
8th,1987,Pavel Klimeš (TCH),2:14:21,Carolyn Naisby (GBR),2:42:08,RbOMMml,IuZAAQA
7th,1986,Dick Hooper (IRL),2:18:10,Maureen Hurst (GBR),2:46:29,cEWMI,FIBQq
6th,1985,Dick Hooper (IRL),2:13:48,Julia Gates (GBR),2:41:26,ECNBV,RJydPO
5th,1984,Svend-Erik Kristensen (DEN),2:18:25,Ailish Smyth (IRL),2:47:30,UeXEY,xdWWfWkM
4th,1983,Ronny Agten (BEL),2:14:19,Mary Purcell (IRL),2:46:09,Miiixi,XZlxTks
3rd,1982,Jerry Kiernan (IRL),2:13:45,Debbie Mueller (USA),2:40:57,hWekvUJ,KsfIpZCB
2nd,1981,Neil Cusack (IRL),2:13:58,Emily Dowling (IRL),2:48:22,XQXuRg,vBIcgKt
1st,1980,Dick Hooper (IRL),2:16:14,Carey May (IRL),2:42:11,HZVhS,blCgY
