Rank,Name,Nation,CP,FP,Points,Placings
1,Beatrix Schuba,Austria,1,7,2763.0,10
2,Julie Lynn Holmes,United States,2,5,2697.3,24.5
3,Karen Magnussen,Canada,4,2,2697.7,27
4,Janet Lynn,United States,5,1,2680.0,34
5,Rita Trapanese,Italy,3,8,2623.6,47.5
6,Sonja Morgenstern,East Germany,9,3,2606.6,52
7,Zsuzsa Almássy,Hungary,6,4,2599.9,57
8,Charlotte Walter,Switzerland,8,14,2480.7,86
9,Christine Errath,East Germany,13,6,2493.5,83
10,Suna Murray,United States,14,9,2475.0,91
11,Elena Alexandrova,Soviet Union,10,13,2450.5,103
