Pos,Class,No,Team,Drivers,Chassis,Engine,Dummy_Col_1,Filler_2
44,T,93,Hervé Poulain,Hervé Poulain Sam Posey Jean Guichet,BMW 3.0CSL,BMW 3.5L I6,VaTZF,xPEHR
45,S2.0,26,Elf Switzerland,Marie-Claude Charmasson Lella Lombardi,Renault-Alpine A441,Renault 2.0L V6,IlMuYNsK,TOFCpIS
46,S3.0,18,Sigma Automotive Co. Ltd.,Hiroshi Fushida Harukuni Takahashi,Sigma MC75,Toyota 2.3L Turbo I4,nHfgdoOM,WabAi
47,GT,16,Joest Racing / Tebernum,Clemens Schickentanz Hartwig Bertrams,Porsche 911 Carrera RSR,Porsche 3.0L Flat-6,dXfri,dOfGFg
48,GT,96,Bonnemaison - Thiaw,Lucien Nageotte Gérard Picard,Porsche 911 Carrera RSR,Porsche 3.0L Flat-6,CpMbNL,pXexeuwK
49,T,95,Shark Team,Jean-Claude Guérie Dominique Fornage,Ford Capri RS,Ford 3.0L V6,DUYfqsAk,DzXoZmd
50,S3.0,97,Gitanes Automobiles Ligier,Jean-Pierre Beltoise Jean-Pierre Jarier,Ligier JS2,Maserati 3.0L V6,gRLeiTIF,gQndWCkA
51,S3.0,12,Racing Team Schulthess,Hervé Bayard Heinz Schulthess,Lola T284,Ford Cosworth DFV 3.0L V8,gcqLUnw,CpWqdLAt
52,S2.0,40,Philippe Mettetal,Jean Ragnotti Michel Lateste,Tecma 755,Ford 1.8L I4,SirMz,aJifyC
53,GTSer.,83,Jean-Yves Gadal,"Jean-Yves Gadal \Ségolen\""""",Porsche 911 Carrera RS,Porsche 2.6L Flat-6,PDudr,eBLZLc
54,T,90,Jean-Claude Aubriet,"Jean-Claude Aubriet \Depnic\""""",BMW 3.0CSL,BMW 3.5L I6,DDLwNyi,VxeiZ
55,GT,42,Henri Greder,Henri Greder Alain Cudini,Chevrolet Corvette,Chevrolet 7.0L V8,tcaebwXA,BVQRDJF
