Pos,Class,No,Team,Drivers,Chassis,Engine
32,S2.0,27,Société ROC,Laurent Ferrier Xavier Lapeyre Christian Ethuin,Lola T294,ROC-Simca 2.0L I4
33,S2.0,29,Société ROC,Pierre-Marie Painvin Franz Hummel,Lola T292,ROC-Simca 2.0L I4
34,S3.0,3,Christian Poirot,Christian Poirot Gérard Cuynet Guillermo Ortega Jean-Claude Lagniez,Porsche 908/2,Porsche 3.0L Flat-8
35,GT,59,Gelo Racing Team,Tim Schenken Howden Ganley,Porsche 911 Carrera RSR,Porsche 3.0L Flat-6
36,S3.0,1,Wicky Racing Team,Max Cohen-Olivar Philippe Coran Joël Brachet,Porsche 908/2,Porsche 3.0L Flat-8
37,S3.0,6,Gitanes Automobiles Ligier,Henri Pescarolo François Migault,Ligier JS2,Ford Cosworth DFV 3.0L V8
38,GT,52,Écurie du Nord,William Vollery Roger Dorchy Eric Chapuis,Porsche 911 Carrera RSR,Porsche 3.0L Flat-6
39,T,98,Auto Mazda Claude Bouchet,Claude Bouchet Jean Rondeau,Mazda RX-3,Mazda 12A 1.2L 2-Rotor
40,GT,57,Ganto Racing,John Rulon-Miller Tom Waugh Serge Godard,Porsche 911 Carrera RSR,Porsche 3.0L Flat-6
41,GT,60,Gelo Racing Team,Toine Hezemans Manfred Schurti,Porsche 911 Carrera RSR,Porsche 3.0L Flat-6
42,GT,68,Guy Verrier,Guy Verrier Florian Vetsch Jean-Robert Corthay,Porsche 911 Carrera RS,Porsche 3.0L Flat-6
43,GT,7,Beurlys International Auto,"Pietro Polese \Willer\""""",De Tomaso Pantera,Ford 5.8L V8
