#,Wrestlers,Reign,Date,Daysheld,Location,Event,Notes,Noise_Field_1,Filler_2,Extra_Data_3
16,Steve Greene,2,"June 23, 2007",329,"Greensboro, North Carolina",CWF Mid-Atlantic Street Fight Challenge (2007),"Steve Greene and AWA Mid Atlantic Heavyweight Champion Joey Silvia defeated the Neon Lions (Lee Valiant and Chris Collins) in a 3-way \Everything To Lose\"" tag team match also involving Fatback Enterprises (Donnie Dollar$ and Mitch Connor). Greene gained the pinfall over Valiant to win the championship.""",HGnkFROK,XxWpiHC,232
17,Tank Lawson,1,"May 17, 2008",112,"Burlington, North Carolina",Revelation (2008),,HnuiTMb,vbhprQ,162
18,Marcellus King,1,"September 6, 2008",133,"Burlington, North Carolina",Sumner Civitans SuperBrawl III (2008),,qyMiQ,AlskHA,327
19,Lee Valiant,2,"January 17, 2009",273,"Burlington, North Carolina",Night of Challenges (2009),,fAngkn,zxvBfWG,927
20,Joey Silva,1,"October 17, 2009",77,"Burlington, North Carolina",CWF Rumble (2009),,xVxKvZr,hVIkyA,305
21,Lee Valiant,3,"January 2, 2010",14,"Burlington, North Carolina",Battlecade X (2010),This was a no-disqualification match.,duiuY,qOllI,944
—,Vacated,—,"January 16, 2010",—,"Burlington, North Carolina",New Years Knockout! (2010),The championship is vacated Lee Valiant is no longer able to defend the title due to a head injury.,qKdaL,UydfgCo,834
22,Roy Wilkins,1,"February 6, 2010",133,"Burlington, North Carolina",Title Turmoil (2010),Wilkins defeated Arik Royal to win the vacant title after both were the last two remaining in a contender's battle royal.,BaVganlm,BWrtT,161
23,Arik Royal,1,"June 19, 2010",182,"Burlington, North Carolina",Absolute Justice IV (2010),,ZcXUjgDf,ofEHeZ,837
24,Ray Kandrack,1,"December 18, 2010",168,"Burlington, North Carolina",Battlecade XI (2010),,bLqGtA,pBjoncd,45
25,Steve Greene,3,"June 4, 2011",0,"Burlington, North Carolina",Title Turmoil (2011),"Greene announced his retirement after the win, vacating the title.",sfBXUSM,sljLe,875
26,Ray Kandrack,2,"June 19, 2011",179,"Burlington, North Carolina",Absolute Justice 5 (2011),Kandrack defeated Jason Miller to win the vacant title after both were the last two remaining in a contender's battle royal.,BPOTA,WrbieUOs,401
27,Donnie Dollar$,1,"December 15, 2011",282,"Burlington, North Carolina",Battlecade 12 (2011),,pOsKNN,JXmihLCQ,60
28,Trevor Lee,1,"September 22, 2012",641+,"Burlington, North Carolina",Converse vs. King (2012),,ODwkiq,xBjtym,70
