#,Wrestlers,Reign,Date,Daysheld,Location,Event,Notes
1,Gemini Kid,1,2000,N/A,N/A,Live event,Gemini Kid is awarded the title to become the first CWF Heavyweight Champion.
2,Mikael Yamaha,1,"January 26, 2001",393,"Wilson, North Carolina",Live event,"In February 2001, the title is renamed the FWA-Carolinas Cruiserweight Championship when CWF Mid-Atlantic became an official affiliate promotion for the Frontier Wrestling Alliance."
3,Sexton Tyler,1,"February 23, 2002",147,"Graham, North Carolina",Heartbreak (2002),
4,Ric Converse,1,"July 20, 2002",231,"Graham, North Carolina",Payback (2002),
5,J-Money,1,"March 8, 2003",245,"Burlington, North Carolina",CWF Championship Wrestling,This was the first-ever television episode of CWF Championship Wrestling.
6,Xsiris,1,"November 8, 2003",161,"Burlington, North Carolina",Live event,"In November 2003, the title was renamed the FWA-Carolinas Television Championship."
7,GeeStar,1,"April 17, 2004",70,"Burlington, North Carolina",Live event,
8,Mikael Yamaha,2,"June 26, 2004",196,"Burlington, North Carolina",Live event,
9,Jesse Ortega,1,"January 8, 2005",188,"Burlington, North Carolina",Live event,
10,Mitch Connor,1,"September 17, 2005",112,"Burlington, North Carolina",Live event,
11,Rob McBride,1,"January 7, 2006",133,"Burlington, North Carolina",Live event,
12,Michael McAllister,1,"May 20, 2006",70,"Burlington, North Carolina",Live event,
13,Brass Munkey,1,"July 29, 2006",154,"Burlington, North Carolina",CWF Championship Wrestling,
14,Steve Greene,1,"December 30, 2006",168,"Burlington, North Carolina",Battlecade VII (2006),
15,Lee Valiant,1,"June 16, 2007",7,"Burlington, North Carolina",Absolute Justice (2007),Valiant pinned Steve Greene in a 4-corner tag team match in which the title was on the line.
