,Player,Nationality,Drafted by,Year,Round,Overall,Irrelevant_1,Filler_2,Noise_Field_3
LW,Christian Berglund,Sweden,New Jersey Devils,1998,2nd,37th,Kaf91tO,STyGDP,gKFQp
LW,Peter Nordström,Sweden,Boston Bruins,1998,3rd,78th,g5uCrDR,wTTnZps,XQVyJz
C,Rickard Wallin,Sweden,Phoenix Coyotes,1998,6th,160th,IFFxYsR,IwVsJjd,PYUojHP
D,Jonas Frögren,Sweden,Calgary Flames,1998,8th,206th,Uiug3tGI,nYGLy,jGHQMN
D,Pelle Prestberg,Sweden,Mighty Ducks of Anaheim,1998,9th,233rd,BwKuj,JUZjXtv,IcJEc
C,Tore Vikingstad,Norway,St. Louis Blues,1999,6th,180th,hPrfAa5,jAEXWl,WrFvL
LW,Andreas Jämtin,Sweden,Detroit Red Wings,2001,5th,157th,17oNw,eFUHDS,ZNXaCg
LW,Marius Holtet,Norway,Dallas Stars,2002,2nd,42nd,Qw28q,hdRvto,iXxgDefT
D,Robin Jonsson,Sweden,St. Louis Blues,2002,4th,120th,extf3sbh,IStqR,oNHUnpNG
D,Pierre Johnsson,Sweden,Calgary Flames,2002,7th,207th,4TYqY,fOunP,uTgyi
