,Player,Nationality,Drafted by,Year,Round,Overall,Unused_1,Filler_2
D,Per Johnsson,Sweden,Calgary Flames,2006,7th,209th,,GkBwf
D,Johan Motin,Sweden,Edmonton Oilers,2008,4th,103rd,,itUZpeuL
C,Marcus Johansson,Sweden,Washington Capitals,2009,1st,24th,,YTzuIhF
F,Henrik Björklund,Sweden,Calgary Flames,2009,4th,111th,,WkolHwcD
G,Johan Gustafsson,Sweden,Minnesota Wild,2010,6th,159th,,MMkDdM
D,Jonas Brodin,Sweden,Minnesota Wild,2011,1st,10th,,FxGvfGM
D,Oscar Klefbom,Sweden,Edmonton Oilers,2011,1st,19th,,MNeTOE
D,Magnus Nygren,Sweden,Montreal Canadiens,2011,4th,113th,,UsohX
D,Calle Andersson,Sweden,New York Rangers,2012,4th,119th,,BCxdEx
F,Max Görtz,Sweden,Nashville Predators,2012,6th,172th,,hywZb
