Year,English Title,Chinese Title,Role,Notes,Noise_Field_1,Dummy_Col_2
1990,Wandering Heroes,游侠儿 - You Xia Er,Xiao Guai,,JOqpkYfL,aMrAZ
1995,Forever Friends,四个不平凡的少年 - Si Ge Bu Ping Fan De Shao Nian,Luo Zhi Jian,,jMZbGE,hOAur
1996,Flirting Expert,泡妞专家 - Pao Niu Zhuan Jia,Xiao Pei,,xzVsV,KuNHLS
1996,Pale Sun,情色 - Qing Se,Lao Wu,,iYZVXWS,HeUIwwdo
1998,Red Bride,红娘 - Hong Niang,Zhang Jun Rui,,rkKldR,AdAKf
1999,Winner Takes All,大赢家 - Da Ying Jia,Shi Sheng Zi,,RawmtCF,eWkpvpp
1999,Cotton Fleece,白棉花 - Bai Mian Hua,Ma Cheng Gong,,WUqMgA,pNJtRG
2000,Devoted to You,初恋的故事 - Chu Lian De Gu Shi,Yu Hai,,PSilBVz,gjZZaKZ
2002,Reunion,手足情深 - Shou Zu Qing Shen,Ka Chung,,SbKSDT,JkDOL
2003,Grandpa's Home,爷爷的家 - Ye Ye De Jia,Xin Qiang Gong An,,KSgSKHYH,BNAmwx
2005,Taklamakan,塔克拉玛干 - TaKeLaMaGan,Cheng Cheng (成成),,QlbpcIjI,eYCgSxMq
2008,Fit Lover,爱情呼叫转移Ⅱ:爱情左右 - Ai Qing Hu Jiao Zhuan Yi II: Ai Qing Zuo You,Guo Ying (郭影),,gHjSv,riPrPK
2009,L-O-V-E,爱到底 - Ai Dao Di,,Guest Star,nFbCdLR,QihEattZ
2009,A Singing Fairy,寻找刘三姐 - Xun Zhao Liu San Jie,Wei Wende (韦文德),,UHVrDU,jdAcsV
