Name,metres,feet,Name,metres,feet
Marmolada,"3,343","10,968",Pala di San Martino,"2,982","9,831"
Antelao,"3,264","10,706",Rosengartenspitze / Catinaccio,"2,981","9,781"
Tofana di Mezzo,"3,241","10,633",Marmarole,"2,961","9,715"
Punta Sorapis,"3,229","10,594",Cima di Fradusta,"2,941","9,649"
Monte Civetta,"3,220","10,564",Monte Agner,"2,872","9,416"
Vernel,"3,145","10,319",Fermedaturm,"2,867","9,407"
Cristallo,"3,221","10,568",Cima d'Asta,"2,848","9,344"
Cima di Vezzana,"3,192","10,470",Cima di Canali,"2,846","9,338"
Cimon della Pala,"3,184","10,453",Croda Grande,"2,839","9,315"
Langkofel / Sassolungo,"3,181","10,427",Vajoletturm / Torri del Vajolet (highest),"2,821","9,256"
Pelmo,"3,169","10,397",Sass Maor,"2,816","9,239"
