Year,Title,Role,Notes
1941,The Maltese Falcon,Kasper Gutman,Nominated – Academy Award for Best Supporting Actor
1941,They Died with Their Boots On,Lt. Gen. Winfield Scott,
1942,Across the Pacific,Dr. Lorenz,
1942,Casablanca,Signor Ferrari,
1943,Background to Danger,Col. Robinson,
1944,Passage to Marseille,Major Duval,
1944,Between Two Worlds,Rev. Tim Thompson,
1944,The Mask of Dimitrios,Mr. Peters,
1944,The Conspirators,Ricardo Quintanilla,
1944,Hollywood Canteen,Himself,
1945,Pillow to Post,Col. Michael Otley,
1945,Conflict,Dr. Mark Hamilton,
